id,graph,tau_s,gap,dose,pulse_s,peak_retained_percent,area_retained_percent,peak_delay_ms,centroid_delay_ms
case0093,independent32_seed22,0.0592,1.0,equal_current,0.01,99.99390439731971,99.95584229012576,0.0,-0.005954192706438335
case0094,independent32_seed22,0.0592,1.0,equal_charge,0.1,99.95609805320917,99.95638461904721,0.0,-0.005421681606582185
case0095,independent32_seed22,0.0592,1.0,equal_current,0.1,99.95429756310237,99.95330543459295,0.0,-0.006058860859380066
case0096,independent32_seed33,0.0592,1.0,equal_charge,0.001,99.98104698445871,99.92584161032588,0.0,0.000492477232232405
case0097,independent32_seed33,0.0592,1.0,equal_current,0.001,99.98105217786245,99.92655892593054,0.0,0.000648346465466354
case0098,independent32_seed33,0.0592,1.0,equal_charge,0.01,99.93473215662266,99.92588098261602,0.0,0.0004917139789679947
case0099,independent32_seed33,0.0592,1.0,equal_current,0.01,99.93464515918531,99.92525976959534,0.0,0.0003964394688915629
case0100,independent32_seed33,0.0592,1.0,equal_charge,0.1,99.92650242970204,99.92679878661347,0.0,0.00038804120827684585
case0101,independent32_seed33,0.0592,1.0,equal_current,0.1,99.92268334116608,99.92119808959981,0.0,-0.0009135404078416953
case0102,cut,0.0592,1.0,equal_charge,0.001,2.7150822669444653e-10,8.50506218291211e-10,55.99999999999999,
case0103,cut,0.0592,1.0,equal_current,0.001,1.1877098808876073e-09,2.9330978975634567e-09,31.000000000000004,
case0104,cut,0.0592,1.0,equal_charge,0.01,3.6522460761127183e-10,5.968781252196868e-10,187.0,
case0105,cut,0.0592,1.0,equal_current,0.01,1.623497303333394e-10,3.7422275083653905e-10,170.99999999999997,
case0106,cut,0.0592,1.0,equal_charge,0.1,1.9470465967052796e-09,6.645843406412163e-10,13.999999999999998,
case0107,cut,0.0592,1.0,equal_current,0.1,9.764506987945155e-11,4.099314071996917e-11,27.999999999999996,
case0108,original,0.0592,4.0,equal_charge,0.001,100.0,100.0,0.0,0.0
case0109,original,0.0592,4.0,equal_current,0.001,100.0,100.0,0.0,0.0
case0110,original,0.0592,4.0,equal_charge,0.01,100.00000000000001,100.0,0.0,0.0
case0111,original,0.0592,4.0,equal_current,0.01,100.0,100.0,0.0,0.0
case0112,original,0.0592,4.0,equal_charge,0.1,100.0,99.99999999999999,0.0,0.0
case0113,original,0.0592,4.0,equal_current,0.1,100.0,100.0,0.0,0.0
case0114,interface_10pct,0.0592,4.0,equal_charge,0.001,27.433946279628287,38.059001867392325,3.0,2.6089543859490125
case0115,interface_10pct,0.0592,4.0,equal_current,0.001,27.435201844008677,38.06419937483763,3.0,2.608880943951288
case0116,interface_10pct,0.0592,4.0,equal_charge,0.01,31.71540989290391,38.05989275287609,0.9999999999999991,2.607199755000553
case0117,interface_10pct,0.0592,4.0,equal_current,0.01,31.71495603411397,38.057302685064045,0.9999999999999991,2.606179339912782
case0118,interface_10pct,0.0592,4.0,equal_charge,0.1,38.065024481434115,37.88010968853303,3.0000000000000027,2.3794454091266917
case0119,interface_10pct,0.0592,4.0,equal_current,0.1,38.05448831933229,37.86593709957189,3.0000000000000027,2.371273200818723
case0120,independent32_seed11,0.0592,4.0,equal_charge,0.001,99.29736938270062,98.90312685922513,0.0,0.019458596804057537
case0121,independent32_seed11,0.0592,4.0,equal_current,0.001,99.29737785294593,98.90365822161405,0.0,0.02438409730283822
case0122,independent32_seed11,0.0592,4.0,equal_charge,0.01,98.72561184049673,98.90312252655093,0.0,0.019220457540741753
case0123,independent32_seed11,0.0592,4.0,equal_current,0.01,98.72554183771553,98.9026567060956,0.0,0.018625850801803553
case0124,independent32_seed11,0.0592,4.0,equal_charge,0.1,98.9032284015436,98.90021118479123,0.0,0.016423455200982595
case0125,independent32_seed11,0.0592,4.0,equal_current,0.1,98.90157177951535,98.89758017430576,0.0,0.015631481726480212
case0126,independent32_seed22,0.0592,4.0,equal_charge,0.001,99.99490761694692,99.76603498515671,0.0,-0.012715327297019297
case0127,independent32_seed22,0.0592,4.0,equal_current,0.001,99.99490987006614,99.76635819702736,0.0,-0.011872439031807014
case0128,independent32_seed22,0.0592,4.0,equal_charge,0.01,99.89514908561199,99.76619026319517,0.0,-0.012835978959117866
case0129,independent32_seed22,0.0592,4.0,equal_current,0.01,99.89510370521869,99.76591685381877,0.0,-0.012894964725358032
case0130,independent32_seed22,0.0592,4.0,equal_charge,0.1,99.76629622461367,99.77018399298453,0.0,-0.011056967927157435
case0131,independent32_seed22,0.0592,4.0,equal_current,0.1,99.76492797444575,99.76821423181839,0.0,-0.01196364530148264
case0132,independent32_seed33,0.0592,4.0,equal_charge,0.001,99.93076324292652,100.02931875049373,0.0,0.010003626736107205
case0133,independent32_seed33,0.0592,4.0,equal_current,0.001,99.93076897682715,100.03066043347079,0.0,0.016913696236584355
case0134,independent32_seed33,0.0592,4.0,equal_charge,0.01,99.94520856620623,100.0293713198288,0.0,0.00967787104769538
case0135,independent32_seed33,0.0592,4.0,equal_current,0.01,99.94515060541993,100.02890047220836,0.0,0.008847783114841398
case0136,independent32_seed33,0.0592,4.0,equal_charge,0.1,100.02984783392043,100.02723171042346,0.0,0.008161066615712531
case0137,independent32_seed33,0.0592,4.0,equal_current,0.1,100.02776992441022,100.02461008644778,0.0,0.007292703435371473
case0138,cut,0.0592,4.0,equal_charge,0.001,1.132545331731971e-05,5.747869805497688e-05,800.0,822.4980473960512
case0139,cut,0.0592,4.0,equal_current,0.001,3.154480220554349e-05,0.00015928553055604528,686.0,776.0777128824654
case0140,cut,0.0592,4.0,equal_charge,0.01,1.3073381124506388e-05,4.833425911840221e-05,778.0,823.3581118801492
case0141,cut,0.0592,4.0,equal_current,0.01,7.012864849521455e-06,2.350177079355899e-05,816.0000000000001,839.0596931990522
case0142,cut,0.0592,4.0,equal_charge,0.1,9.887044738525815e-05,5.289405125170308e-05,816.0,795.636049154029
case0143,cut,0.0592,4.0,equal_current,0.1,4.347829618633466e-06,1.0845788397934346e-06,952.0,873.6679930851436
