stage,model,gd,tau,gap,graph,pulse_s,amplitude_A_m2,restore_s,end_s,dose,id,peak_mV,time_peak_s,positive_area_mV_s,positive_centroid_s,final_mean_mV,final_max_departure_mV,target_ever_fraction,target_final_fraction,first_target_crossing_s,final_dv_max_V_s,final_gate_derivative_max_s_inv,net_cut_charge_effective_C_m2,positive_cut_charge_effective_C_m2,junction_sum_max_A_m2,nfev,method,rtol,atol,gate_min,gate_max,amplitude_factor,numerical_correction,strategy,budget_edges,added_weight
repair,bistable,4.0,0.0148,1.0,repair_random11_8,0.02,0.08237304687500001,,2.0,,case0411,65.87442752379097,0.066,114.1519187978833,1.0246559899628078,58.51837888077314,58.5183791333449,1.0,1.0,0.029,3.884018218158758e-07,2.990766343289139e-07,0.0049613116294087295,0.005384881010177242,1.9980645832008062e-15,11440,DOP853,1e-08,1e-10,0.02755559345184365,0.6440279792528557,1.0,,random11,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_random22_8,0.02,0.08237304687500001,,2.0,,case0412,66.40996165519483,0.061,114.38789050567013,1.0226382635386573,58.51837888073061,58.51837890423469,1.0,1.0,0.024,3.520326530281892e-08,2.7094407798436938e-08,0.003793568034718587,0.003989624623925487,2.0483884374190132e-15,11188,DOP853,1e-08,1e-10,0.027555593451843483,0.6442088484687312,1.0,,random22,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_random33_8,0.02,0.08237304687500001,,2.0,,case0413,66.24276457273649,0.06,114.4629349306711,1.0219964861797195,58.51837888072473,58.51837888530737,1.0,1.0,0.024,7.160519399640464e-09,5.511499665064665e-09,0.0033841651031362393,0.003529506849416013,1.9215346740613496e-15,10903,DOP853,1e-08,1e-10,0.027555593451843618,0.6442340830297026,1.0,,random33,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_directed_16,0.02,0.08237304687500001,,2.0,,case0414,65.5884253300712,0.108,111.79675575685974,1.044754966281164,58.51837888072404,58.51837888072406,1.0,1.0,0.032,2.7755575615628914e-15,5.2510548462000647e-14,0.005550910543530474,0.005619899301300792,2.3462219379660714e-15,35752,DOP853,1e-12,1e-14,0.027555593451845068,0.6444339179044583,1.0,True,directed,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random11_16,0.02,0.08237304687500001,,2.0,,case0415,66.04821125598596,0.061,114.42466285632966,1.0223258261920818,58.51837888072172,58.51837891767431,1.0,1.0,0.027,8.465136924762362e-08,6.51218943635155e-08,0.004600378915737912,0.004926320421767916,1.8379310860899873e-15,11263,DOP853,1e-08,1e-10,0.027555593451843545,0.6443219533652661,1.0,,random11,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random22_16,0.02,0.08237304687500001,,2.0,,case0416,66.1460563876004,0.061,114.40802176726699,1.0224657398833987,58.518378880665395,58.518378905703095,1.0,1.0,0.025,6.246171635471143e-08,4.800526342807176e-08,0.003842602986815194,0.004025193802625711,1.918705202528587e-15,9310,DOP853,1e-08,1e-10,0.027555593451843555,0.6442369917939808,1.0,,random22,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random33_16,0.02,0.08237304687500001,,2.0,,case0417,66.32781766380666,0.061,114.4225935011839,1.0223408397733782,58.51837888072853,58.518378884810055,1.0,1.0,0.024,9.580136683950968e-09,7.3507041294670064e-09,0.003278977014562474,0.0033951117965054156,1.855514143875992e-15,10990,DOP853,1e-08,1e-10,0.02755559345184363,0.644294682852339,1.0,,random33,16,14.4
repair,bistable,4.0,0.0148,1.0,interface_10pct,0.02,0.09061035156250001,,2.0,,case0418,1.756090186553358,0.068,3.3158838365078784,1.0168218824228836,1.6863323334390667,58.51837881406231,0.0,0.0,,2.890018224732671e-08,2.2257623672067445e-08,0.32960578128521467,0.32960578128521467,2.42861286636753e-15,10768,DOP853,1e-08,1e-10,0.02755559345184428,0.6432682652429501,1.1,,none,0,0.0
repair,bistable,4.0,0.0148,1.0,original,0.02,0.09061035156250001,,2.0,,case0419,66.0140653419072,0.059000000000000004,114.55004789033597,1.0212513285825804,58.51837888072414,58.51837888116697,1.0,1.0,0.019,8.750028479553862e-10,6.690669039820428e-10,0.00253774329115348,0.0026647380835276915,2.706168622523819e-15,11008,DOP853,1e-08,1e-10,0.027555593451845068,0.6441411317476483,1.1,,full,32,28.8
repair,bistable,4.0,0.0148,1.0,repair_directed_4,0.02,0.09061035156250001,,2.0,,case0420,65.2872067836086,0.06,114.54599561678725,1.0212848830105352,58.518378880715595,58.518378892282,1.0,1.0,0.019,1.7316270639611275e-08,1.3319398136976465e-08,0.0021607798232535828,0.0021984818005319606,2.2362775101454614e-15,11014,DOP853,1e-08,1e-10,0.027555593451845068,0.6441214790736749,1.1,,directed,4,3.6
repair,bistable,4.0,0.0148,1.0,repair_random11_4,0.02,0.09061035156250001,,2.0,,case0421,66.17996878447511,0.065,114.16891087778781,1.0245098244096469,58.51837888072578,58.518378887327955,1.0,1.0,0.028,1.0053591292802366e-08,7.741495132628138e-09,0.004334527512505855,0.004595588972889328,2.155503393706861e-15,11524,DOP853,1e-08,1e-10,0.02755559345184428,0.6441812728555781,1.1,,random11,4,3.6
repair,bistable,4.0,0.0148,1.0,repair_random22_4,0.02,0.09061035156250001,,2.0,,case0422,66.25910346306281,0.061,114.44132806659279,1.0221810969697076,58.51837888071984,58.518379011683884,1.0,1.0,0.02,1.9759291425280878e-07,1.521211610131643e-07,0.0034797421594302685,0.003660577187415229,2.1643959606981026e-15,11296,DOP853,1e-08,1e-10,0.02755559345184333,0.6444778878487131,1.1,,random22,4,3.6
repair,bistable,4.0,0.0148,1.0,repair_random33_4,0.02,0.09061035156250001,,2.0,,case0423,66.06386674372763,0.061,114.45100942980702,1.0220989747178246,58.51837888072113,58.51837888611625,1.0,1.0,0.025,8.071707191525945e-09,6.214233332117773e-09,0.0036193114508628523,0.0037841722449497486,2.159949677202482e-15,11245,DOP853,1e-08,1e-10,0.027555593451844367,0.6447992885042293,1.1,,random33,4,3.6
repair,bistable,4.0,0.0148,1.0,repair_directed_8,0.02,0.09061035156250001,,2.0,,case0424,65.40250858205178,0.06,114.53651694151623,1.0213660757145389,58.51837888177103,58.51837934868004,1.0,1.0,0.019,7.023503056924341e-07,5.392264412762415e-07,0.0022885210796064204,0.0023282007982666423,2.2729256527523314e-15,9370,DOP853,1e-08,1e-10,0.027555593451845068,0.644137649819002,1.1,,directed,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_random11_8,0.02,0.09061035156250001,,2.0,,case0425,65.86957027034302,0.065,114.21530499946817,1.0241144141385077,58.51837888073589,58.51837894107427,1.0,1.0,0.028,9.206120588078903e-08,7.08888278408201e-08,0.0049539040467484075,0.005377198905924556,1.9980645832008062e-15,11536,DOP853,1e-08,1e-10,0.02755559345184428,0.64418099157082,1.1,,random11,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_random22_8,0.02,0.09061035156250001,,2.0,,case0426,66.37736849493331,0.059000000000000004,114.52057246120964,1.0215046382835882,58.51837888072518,58.51837888462829,1.0,1.0,0.02,5.845934847314993e-09,4.499396350994218e-09,0.003612049368043549,0.003797717784618372,2.0483884374190132e-15,11170,DOP853,1e-08,1e-10,0.027555593451843326,0.6444402721017365,1.1,,random22,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_random33_8,0.02,0.09061035156250001,,2.0,,case0427,66.24411665561075,0.058,114.6064656972216,1.0207702686530855,58.518378880724235,58.51837888194971,1.0,1.0,0.02,1.9490964398016786e-09,1.5002413725732047e-09,0.0032079758568638946,0.003346931279163074,1.9215346740613496e-15,10840,DOP853,1e-08,1e-10,0.027555593451843483,0.6444590611337773,1.1,,random33,8,7.2
repair,bistable,4.0,0.0148,1.0,repair_directed_16,0.02,0.09061035156250001,,2.0,,case0428,65.61190439216486,0.06,114.54571142144577,1.0212880143887466,58.51837888071249,58.51837890364712,1.0,1.0,0.019,3.449742436156811e-08,2.6410968007190155e-08,0.002414632257104964,0.0024846303898451846,2.3462219379660714e-15,9373,DOP853,1e-08,1e-10,0.027555593451845068,0.6441410123964207,1.1,,directed,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random11_16,0.02,0.09061035156250001,,2.0,,case0429,66.03385248633252,0.06,114.49419191212242,1.0217317517806017,58.51837888070538,58.51837917676587,1.0,1.0,0.026000000000000002,6.784784012392464e-07,5.21949908219224e-07,0.004580129081528543,0.004904041107531832,1.8379310860899873e-15,11284,DOP853,1e-08,1e-10,0.027555593451844322,0.6445443855025991,1.1,,random11,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random22_16,0.02,0.09061035156250001,,2.0,,case0430,66.1610685093536,0.059000000000000004,114.55165216138555,1.0212386734208847,58.518378880737394,58.51837889020221,1.0,1.0,0.022,1.4211357091120647e-08,1.0922216584616904e-08,0.003689730276832364,0.003867428613920888,1.918705202528587e-15,9223,DOP853,1e-08,1e-10,0.02755559345184341,0.6444535389249255,1.1,,random22,16,14.4
repair,bistable,4.0,0.0148,1.0,repair_random33_16,0.02,0.09061035156250001,,2.0,,case0431,66.26319595026196,0.058,114.6086303971941,1.02075158203198,58.518378880727475,58.51837888384192,1.0,1.0,0.02,7.310119176651142e-09,5.608959243010138e-09,0.0030638723781586815,0.003172962659110525,1.855514143875992e-15,9211,DOP853,1e-08,1e-10,0.027555593451844926,0.6444839060952237,1.1,,random33,16,14.4
repair,excitable,4.0,0.0148,1.0,interface_10pct,0.02,0.11504882812499999,,2.0,,case0432,1.4879415478303502,0.063,0.1647341693767632,0.09525453170104328,-1.8667012380291226e-10,4.5113981994582275e-09,0.0,0.0,,4.5500560784395017e-11,7.199787099843036e-08,0.016941736654179383,0.017164028954107485,1.3815337762588819e-15,8356,DOP853,1e-08,1e-10,0.027096644487850093,0.9400106785225937,0.9,,none,0,0.0
repair,excitable,4.0,0.0148,1.0,original,0.02,0.11504882812499999,,2.0,,case0433,0.914260827601529,0.023,0.0234436088923796,0.02446139016059796,-1.1012024625500771e-11,1.4146323001895666e-10,0.019230769230769232,0.0,0.018000000000000002,1.3754405600585606e-12,6.259133211727885e-09,0.0019716595043549486,0.0020183861796165556,1.3461454173580023e-15,6592,DOP853,1e-08,1e-10,0.027464737291051155,0.9400106785225937,0.9,,full,32,28.8
repair,excitable,4.0,0.0148,1.0,repair_directed_4,0.02,0.11504882812499999,,2.0,,case0434,0.9138461098210025,0.023,0.023491294825949464,0.02452436113309212,-1.1032841307212493e-11,1.451408437880275e-10,0.019230769230769232,0.0,0.018000000000000002,1.48245131448288e-12,6.3354321788722245e-09,0.0019497422110809444,0.0019966787997700327,1.1649126871075836e-15,6589,DOP853,1e-08,1e-10,0.027463955894145048,0.9400106785225937,0.9,,directed,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random11_4,0.02,0.11504882812499999,,2.0,,case0435,60.87682056616847,0.076,5.969243503926854,0.11874601832191727,-5.364583777200949e-09,5.704721417476577e-09,1.0,0.0,0.031,5.755489401043645e-11,9.112866017346732e-08,0.0013477597475522263,0.005759138914826174,1.1501417061992065e-15,9379,DOP853,1e-08,1e-10,0.027036679303948947,0.9400106785225937,0.9,,random11,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random22_4,0.02,0.11504882812499999,,2.0,,case0436,61.66427149150845,0.07200000000000001,5.992468146274768,0.11688257954792396,-5.299059802066353e-09,5.584303852668171e-09,1.0,0.0,0.025,5.634930456271947e-11,8.928212502645749e-08,0.001872291079925075,0.005730561327581259,1.0097646091284823e-15,9181,DOP853,1e-08,1e-10,0.027022627453436057,0.9400106785225937,0.9,,random22,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random33_4,0.02,0.11504882812499999,,2.0,,case0437,60.99717534481749,0.069,6.0208704264583695,0.11324658688388148,-5.144440429205588e-09,5.422010063149685e-09,1.0,0.0,0.028,5.46565613948613e-11,8.658873396072408e-08,0.0013934860600151513,0.0047312497409428165,1.1586696034389583e-15,9028,DOP853,1e-08,1e-10,0.027023127912196472,0.9400106785225937,0.9,,random33,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_directed_8,0.02,0.11504882812499999,,2.0,,case0438,0.9148995741243351,0.023,0.023442683013699152,0.024447811890904822,-1.0998146837692957e-11,1.4223344724229037e-10,0.019230769230769232,0.0,0.018000000000000002,1.533007661785879e-12,6.266319685366284e-09,0.0019687370193637813,0.002016629111823477,1.1071922689482371e-15,6592,DOP853,1e-08,1e-10,0.027464626400464726,0.9400106785225937,0.9,,directed,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random11_8,0.02,0.11504882812499999,,2.0,,case0439,60.250811205761266,0.074,5.974949527764338,0.11695838764040932,-5.26831356317814e-09,5.624847809748701e-09,1.0,0.0,0.031,5.6864094596237313e-11,9.011093204946974e-08,0.0015893421414935162,0.006759392694057739,1.0835003777713586e-15,9316,DOP853,1e-08,1e-10,0.027034865851970877,0.9400106785225937,0.9,,random11,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random22_8,0.02,0.11504882812499999,,2.0,,case0440,61.933923942813635,0.066,6.035649452945915,0.11149619372487397,-5.0710963206412885e-09,5.294771565633738e-09,1.0,0.0,0.025,5.3405110195248184e-11,8.451788269248084e-08,0.0016791608647137705,0.005046308553348528,1.1178276798081607e-15,8851,DOP853,1e-08,1e-10,0.027028393017059886,0.9400106785225937,0.9,,random22,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random33_8,0.02,0.11504882812499999,,2.0,,case0441,61.59880677291965,0.065,6.060134666758604,0.11053539166824101,-5.060410424029271e-09,5.294743810058122e-09,1.0,0.0,0.025,5.3456002645224654e-11,8.436594089999971e-08,0.0015473325715417666,0.004195284803927676,1.1114552424964523e-15,8512,DOP853,1e-08,1e-10,0.027022979777760518,0.9400106785225937,0.9,,random33,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_directed_16,0.02,0.11504882812499999,,2.0,,case0442,0.9144712570676311,0.023,0.023448551135996448,0.024461591761861287,-1.1012024625500771e-11,1.4176854135072858e-10,0.019230769230769232,0.0,0.018000000000000002,1.4586313927533734e-12,6.25922313979288e-09,0.001972113075264661,0.002019011659605522,1.1242841636331883e-15,6592,DOP853,1e-08,1e-10,0.02746473352714586,0.9400106785225937,0.9,,directed,16,14.4
repair,excitable,4.0,0.0148,1.0,repair_random11_16,0.02,0.11504882812499999,,2.0,,case0443,60.877328933953656,0.066,6.036226892142801,0.1100415302899465,-4.989050839121489e-09,5.283988524507066e-09,1.0,0.0,0.028,5.3232667839714365e-11,8.446431443154268e-08,0.0014810317970379518,0.005700594684477281,1.2637560743694057e-15,8827,DOP853,1e-08,1e-10,0.02702843733206984,0.9400106785225937,0.9,,random11,16,14.4
repair,excitable,4.0,0.0148,1.0,repair_random22_16,0.02,0.11504882812499999,,2.0,,case0444,61.49922952142101,0.067,6.057368930434933,0.11156053882858688,-5.106214062688963e-09,5.3697532531593595e-09,1.0,0.0,0.028,5.4154066213979446e-11,8.575333332316859e-08,0.0016359854642776872,0.004685863095567931,1.3085757408211257e-15,8503,DOP853,1e-08,1e-10,0.02702243708704398,0.9400106785225937,0.9,,random22,16,14.4
