id,geometry,model,gd,factor,amplitude_A_m2,history,restore_s,pulse_s,end_s,blocks,controls,category,stationary,linearly_stable,max_real_eigen_s_inv,final_dV_max_V_s,final_gate_derivative_max_s_inv,threshold_V,rest_V,target_count,target_high,total_high,target_ever_high,total_ever_high,target_high_fraction,final_mean_V,target_final_mean_V,final_min_V,final_max_V,peak_V,target_peak_V,first_target_recruitment_s,final_max_departure_V,threshold_margin_final_V,junction_sum_sampled_max_A_m2,category_2s,target_high_2s,max_voltage_change_2_to_5s_V,nfev,gate_min,gate_max,solver,numerically_accepted,effective_source,numerical_correction
v0038,fonte_direita,bistable,4.0,0.9,0.0741357421875,interface,,0.02,5.0,[1],"[""never_restore""]",memoria_localizada,True,True,-68.38740120818697,5.334274688628682e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,170,0,56,0,56,0.0,-0.03586556091878798,-0.05007150890221872,-0.050969004268060815,0.007546485987308484,0.019968022662454517,-0.04524281400136578,,0.058517713749718085,0.009495269098386903,2.51612380051356e-15,memoria_localizada,0,8.673617379884035e-18,79744,0.027555593451845068,0.6432574335765934,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0041,geometria_1701,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.87401901507052,5.551115123125783e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,110,110,226,110,226,1.0,0.007547151118314446,0.007547151118314448,0.007547151118314432,0.007547151118314456,0.020588735778275143,0.020588735778275143,0.02,0.05851837888072406,0.04356372267162334,2.789435349370706e-15,recrutamento_coletivo,110,2.6020852139652106e-18,80763,0.027555593451845068,0.6442713677765026,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0044,geometria_1701,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.8740190150702,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,110,110,226,110,226,1.0,0.007547151118314446,0.007547151118314448,0.007547151118314432,0.007547151118314455,0.0206253024283564,0.0206253024283564,0.018000000000000002,0.05851837888072406,0.04356372267162334,2.789435349370706e-15,recrutamento_coletivo,110,2.6020852139652106e-18,80475,0.027555593451845068,0.6442667586397581,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0047,geometria_1701,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.87401901507022,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,110,110,226,110,226,1.0,0.007547151118314446,0.007547151118314448,0.007547151118314432,0.007547151118314455,0.02061443672473195,0.02061443672473195,0.016,0.05851837888072406,0.04356372267162334,2.789435349370706e-15,recrutamento_coletivo,110,1.734723475976807e-18,80523,0.027555593451845068,0.6444602590703233,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0048,geometria_1701,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37052327826838,2.8297676701871666e-15,7.032662740446514e-16,-0.03601657155330891,-0.0509712277624096,110,0,0,0,0,0.0,-0.050971227762409595,-0.05097122776240959,-0.0509712277624096,-0.050971227762409595,-0.050971227762409595,-0.0509712277624096,,6.938893903907228e-18,0.014954656209100685,2.789435349370706e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0049,geometria_1701,kv,0.0,0.9,0.0741357421875,original,,0.02,5.0,[1],"[""no_additional_current""]",repouso,True,True,-68.31662204379987,5.572799166575493e-15,1.8753767307857373e-15,-0.03601657155330891,-0.051497482804242954,110,0,0,0,0,0.0,-0.05149748280424293,-0.05149748280424295,-0.05149748280424296,-0.051497482804242926,-0.03857648187306126,-0.048312069694763995,,2.7755575615628914e-17,0.015480911250934017,2.095545958979983e-15,repouso,0,0.0,75220,0.02657218237250188,0.051979773501479885,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0050,geometria_1701,kv,0.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,[1],"[""no_additional_current""]",transiente_sem_persistencia,True,True,-68.31662204379917,5.616167253474913e-15,2.1097988221339546e-15,-0.03601657155330891,-0.051497482804242954,110,0,0,0,1,0.0,-0.05149748280424293,-0.05149748280424295,-0.05149748280424296,-0.051497482804242926,-0.03179236674169546,-0.05063842235548639,,2.7755575615628914e-17,0.015480911250934017,2.095545958979983e-15,transiente_sem_persistencia,0,0.0,75147,0.026572107313152717,0.07486482463207751,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0051,geometria_1701,bistable,4.0,0.9,0.0741357421875,interface,,0.02,5.0,[1],"[""never_restore""]",recrutamento_coletivo,True,True,-80.9140925264568,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,110,110,226,110,226,1.0,0.007547151118314443,0.007547151118314445,0.007547151118314431,0.007547151118314455,0.020664983444850925,0.020569174217282774,0.068,0.05851837888072406,0.04356372267162334,2.2099366702962137e-15,recrutamento_coletivo,110,5.204170427930421e-18,86716,0.027555593451845068,0.6435491291953706,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0054,geometria_2701,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.88391304456937,5.551115123125783e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,109,109,226,109,226,1.0,0.007547151118314446,0.007547151118314446,0.007547151118314432,0.007547151118314456,0.020670474000916945,0.020563210530722346,0.035,0.05851837888072406,0.04356372267162334,2.733924198139448e-15,recrutamento_coletivo,109,1.734723475976807e-18,80859,0.027555593451845065,0.6439649241189304,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0057,geometria_2701,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.8839130445697,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,109,109,226,109,226,1.0,0.007547151118314445,0.007547151118314447,0.007547151118314432,0.007547151118314455,0.020605691963222643,0.020536557505418343,0.02,0.05851837888072406,0.04356372267162334,2.733924198139448e-15,recrutamento_coletivo,109,3.469446951953614e-18,80643,0.027555593451845068,0.6438697805115058,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
